Venue Category,Category Group
Indie Movie Theater,Entertainment
Vegetarian / Vegan Restaurant,Food/Restaurant
Ice Cream Shop,Specialty Food
Gastropub,Bar/Pub/Lounge
Park,Community
Bagel Shop,Specialty Food
Bakery,Specialty Food
Beach,Outdoor
Coffee Shop,Coffee/Tea
Toy / Game Store,Specialty Store
Middle Eastern Restaurant,Food/Restaurant
Health Food Store,Specialty Food
Breakfast Spot,Food/Restaurant
BBQ Joint,Food/Restaurant
French Restaurant,Food/Restaurant
Café,Coffee/Tea
Hungarian Restaurant,Food/Restaurant
Skating Rink,Sports/Fitness
Trail,Outdoor
Butcher,Specialty Store
Asian Restaurant,Food/Restaurant
Indian Restaurant,Food/Restaurant
Soccer Field,Sports/Fitness
Liquor Store,Specialty Store
Farmers Market,Grocery/Supermarket
Brewery,Bar/Pub/Lounge
Cupcake Shop,Specialty Food
Japanese Restaurant,Food/Restaurant
Thai Restaurant,Food/Restaurant
Ethiopian Restaurant,Food/Restaurant
Tea Room,Coffee/Tea
Playground,Community
American Restaurant,Food/Restaurant
Comic Shop,Specialty Store
Gym,Sports/Fitness
Pub,Bar/Pub/Lounge
Fish & Chips Shop,Food/Restaurant
Egyptian Restaurant,Food/Restaurant
Diner,Food/Restaurant
Golf Course,Sports/Fitness
Burrito Place,Food/Restaurant
Bar,Bar/Pub/Lounge
Mexican Restaurant,Food/Restaurant
Snack Place,Food/Restaurant
Pizza Place,Food/Restaurant
Pakistani Restaurant,Food/Restaurant
Bookstore,Specialty Store
Latin American Restaurant,Food/Restaurant
Cocktail Bar,Bar/Pub/Lounge
Burger Joint,Food/Restaurant
Neighborhood,Community
Beer Bar,Bar/Pub/Lounge
Turkish Restaurant,Food/Restaurant
Sushi Restaurant,Food/Restaurant
Rock Climbing Spot,Sports/Fitness
Greek Restaurant,Food/Restaurant
Italian Restaurant,Food/Restaurant
Concert Hall,Entertainment
Historic Site,Historic/Museum
Vietnamese Restaurant,Food/Restaurant
Grocery Store,Grocery/Supermarket
Hotel,Hotel/Accommodation
Taco Place,Food/Restaurant
Sandwich Place,Food/Restaurant
Steakhouse,Food/Restaurant
Theme Restaurant,Food/Restaurant
Restaurant,Food/Restaurant
Mediterranean Restaurant,Food/Restaurant
Dance Studio,Sports/Fitness
Garden,Community
Juice Bar,Coffee/Tea
Supermarket,Grocery/Supermarket
Salon / Barbershop,Service
Athletics & Sports,Sports/Fitness
Spa,Service
Chocolate Shop,Specialty Food
Bubble Tea Shop,Coffee/Tea
Dessert Shop,Specialty Food
Caribbean Restaurant,Food/Restaurant
Climbing Gym,Sports/Fitness
Boutique,Specialty Store
Circus,Entertainment
Dog Run,Community
Food Truck,Food/Restaurant
Bistro,Food/Restaurant
Creperie,Specialty Food
Theater,Entertainment
Clothing Store,Specialty Store
Museum,Historic/Museum
Flower Shop,Specialty Store
Gym / Fitness Center,Sports/Fitness
Food & Drink Shop,Food/Restaurant
General Entertainment,Entertainment
Botanical Garden,Tourism
Other Great Outdoors,Outdoor
Baseball Field,Sports/Fitness
Yoga Studio,Sports/Fitness
Indonesian Restaurant,Food/Restaurant
Sports Bar,Food/Restaurant
Cosmetics Shop,Specialty Store
Gourmet Shop,Specialty Food
Ramen Restaurant,Food/Restaurant
Shopping Mall,General Shopping
Sporting Goods Shop,Specialty Store
Portuguese Restaurant,Food/Restaurant
Auto Dealership,Service
Arts & Crafts Store,Specialty Store
Tapas Restaurant,Food/Restaurant
Field,Outdoor
Pet Store,Specialty Store
Furniture / Home Store,Specialty Store
Castle,Tourism
Warehouse Store,General Shopping
Movie Theater,Entertainment
Wings Joint,Food/Restaurant
Women's Store,Specialty Store
Jewelry Store,Specialty Store
Gift Shop,Specialty Store
Music School,Training/Education
Event Space,Event Space
Hostel,Hotel/Accommodation
Art Gallery,Specialty Store
South American Restaurant,Food/Restaurant
Doner Restaurant,Food/Restaurant
Organic Grocery,Grocery/Supermarket
Music Store,Specialty Store
Record Shop,Specialty Store
Plaza,Community
Smoke Shop,Specialty Store
Speakeasy,Bar/Pub/Lounge
Train Station,Transportation
Shoe Store,Specialty Store
Basketball Stadium,Sports/Fitness
Salad Place,Food/Restaurant
Lake,Outdoor
Scenic Lookout,Outdoor
Performing Arts Venue,Event Space
Monument / Landmark,Tourism
Aquarium,Tourism
Comedy Club,Entertainment
Baseball Stadium,Sports/Fitness
Seafood Restaurant,Food/Restaurant
Spanish Restaurant,Food/Restaurant
Harbor / Marina,Transportation
Electronics Store,Specialty Store
Pharmacy,Medicine
Bike Shop,Specialty Store
Pastry Shop,Food/Restaurant
Brazilian Restaurant,Food/Restaurant
Whisky Bar,Bar/Pub/Lounge
Music Venue,Event Space
Racetrack,Sports/Fitness
Soccer Stadium,Sports/Fitness
Paper / Office Supplies Store,Specialty Store
Wine Bar,Bar/Pub/Lounge
Korean Restaurant,Food/Restaurant
New American Restaurant,Food/Restaurant
Cuban Restaurant,Food/Restaurant
Eastern European Restaurant,Food/Restaurant
Food,Food/Restaurant
Deli / Bodega,Food/Restaurant
Beer Store,Specialty Store
Bridge,Community
Donut Shop,Specialty Food
Tattoo Parlor,Service
Frozen Yogurt Shop,Specialty Food
Amphitheater,Entertainment
Pool Hall,Entertainment
Building,Office/Business
Flea Market,General Shopping
Dive Bar,Bar/Pub/Lounge
Hotel Bar,Bar/Pub/Lounge
Chinese Restaurant,Food/Restaurant
Boxing Gym,Sports/Fitness
German Restaurant,Food/Restaurant
Hockey Arena,Sports/Fitness
Belgian Restaurant,Food/Restaurant
Trade School,Training/Education
Stadium,Sports/Fitness
Fried Chicken Joint,Food/Restaurant
Outdoor Sculpture,Community
Poke Place,Food/Restaurant
Lounge,Bar/Pub/Lounge
Financial or Legal Service,Service
Lingerie Store,Specialty Store
Miscellaneous Shop,General Shopping
Convenience Store,Grocery/Supermarket
Waterfront,Community
Sculpture Garden,Tourism
Pool,Sports/Fitness
Market,General Shopping
Lighthouse,Tourism
Fast Food Restaurant,Food/Restaurant
Gluten-free Restaurant,Food/Restaurant
Outdoors & Recreation,Outdoor
Farm,Fram
Bank,Bank/Finanical Institusions
